level,leg,footfall_order,s,x,y,z
5,HL,3,0.3,1.332636154,-0.0002496817931,0.174278553
5,HL,3,0.4,1.365718937,0.0003840670292,0.1959703083
5,HL,3,0.5,1.39880172,0.001017815852,0.2050668508
5,HL,3,0.6,1.431884504,0.001651564674,0.1959435141
5,HL,3,0.7,1.464967287,0.002285313496,0.174187865
5,HL,3,0.8,1.49805007,0.002919062318,0.1482214452
5,HL,3,0.9,1.531132853,0.003552811141,0.1500668508
5,HL,3,1,1.564215636,0.004186559963,0.1173424594
5,HL,4,0,1.564215636,0.004186559963,0.1173424594
5,HL,4,0.1,1.571903612,0.005825191045,0.1500668508
5,HL,4,0.2,1.579591588,0.007463822126,0.1500668508
5,HL,4,0.3,1.587279564,0.009102453208,0.174187865
5,HL,4,0.4,1.59496754,0.01074108429,0.1959435141
5,HL,4,0.5,1.602655515,0.01237971537,0.2050668508
5,HL,4,0.6,1.610343491,0.01401834645,0.1967468508
5,HL,4,0.7,1.618031467,0.01565697753,0.1769068508
5,HL,4,0.8,1.625719443,0.01729560862,0.1532268508
5,HL,4,0.9,1.633407419,0.0189342397,0.1500668508
5,HL,4,1,1.641095395,0.02057287078,0.1250668508
5,HL,5,0,1.641095395,0.02057287078,0.1250668508
5,HL,5,0.1,1.673148991,0.01690476809,0.1500668508
5,HL,5,0.2,1.705202586,0.0132366654,0.1827180687
5,HL,5,0.3,1.737256182,0.009568562707,0.222353281
5,HL,5,0.4,1.769309778,0.005900460016,0.2403692866
5,HL,5,0.5,1.801363374,0.002232357325,0.234100602
5,HL,5,0.6,1.833416969,-0.001435745366,0.2184288905
5,HL,5,0.7,1.865470565,-0.005103848057,0.1980556655
5,HL,5,0.8,1.897524161,-0.008771950748,0.1853692866
5,HL,5,0.9,1.929577756,-0.01244005344,0.1853692866
5,HL,5,1,1.961631352,-0.01610815613,0.1557420444
5,HL,6,0,1.961631352,-0.01610815613,0.1557420444
5,HL,6,0.1,1.966715884,-0.01404809255,0.1853740721
5,HL,6,0.2,1.971800415,-0.01198802897,0.1856163826
5,HL,6,0.3,1.976884947,-0.009927965383,0.2107379851
5,HL,6,0.4,1.981969478,-0.007867901801,0.2317858143
5,HL,6,0.5,1.987054009,-0.005807838218,0.2406123233
5,HL,6,0.6,1.992138541,-0.003747774636,0.2322670475
5,HL,6,0.7,1.997223072,-0.001687711054,0.2123667744
5,HL,6,0.8,2.002307604,0.0003723525284,0.1886148355
5,HL,6,0.9,2.007392135,0.002432416111,0.1853692866
5,HL,6,1,2.012476667,0.004492479693,0.1603692866
5,HL,7,0,2.012476667,0.004492479693,0.1603692866
5,HL,7,0.1,2.027199639,0.03044930283,0.1853692866
5,HL,7,0.2,2.04192261,0.05640612597,0.1931595015
5,HL,7,0.3,2.056645582,0.08236294912,0.2207330912
