t,q0,q1,q2,q3,q4,q5,q6,q7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7
6.22,-1.37,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.73,0.276,-6.466,4.338,-4.777,0.076,-5.933,6.014,-3.79,1.16,-5.33,5.03,0.49,1.81,-0.24,0.96
6.271,-1.37,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.73,0.276,-6.466,4.338,-4.777,0.076,-5.933,6.014,-3.79,1.16,-5.33,5.03,0.49,1.81,-0.24,0.96
6.321,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.965,0.073,-6.841,4.256,-4.547,0.066,-5.998,5.897,0.78,1.22,-1.54,1.31,1.19,2.21,-1.02,0.88
6.372,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.965,0.073,-6.841,4.256,-4.547,0.066,-5.998,5.897,0.78,1.22,-1.54,1.31,1.19,2.21,-1.02,0.88
6.423,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.715,0.159,-6.568,4.395,-4.562,0.073,-5.798,5.944,2.28,2.16,-0.38,1.35,0.88,0.16,-2.07,0.21
6.473,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.715,0.159,-6.568,4.395,-4.562,0.073,-5.798,5.944,2.28,2.16,-0.38,1.35,0.88,0.16,-2.07,0.21
6.524,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.703,0.279,-6.634,4.294,-4.98,0.068,-5.748,6.023,-0.68,-2.26,0.69,-2.99,0.65,2.3,0.92,-2.31
6.574,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.668,0.235,-6.724,4.327,-4.68,0.027,-5.7,6.089,-2.36,1.14,0.38,-1.7,-2.72,-1.43,0.85,-1.76
6.625,-1.35,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.637,0.233,-6.792,4.341,-4.949,-0.061,-5.745,6.033,3.48,-2.38,1.12,0.25,1.28,-0.2,-0.71,-0.36
6.675,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.57,0.238,-6.69,4.32,-4.773,0.105,-5.954,5.981,1.09,-1.8,-0.71,-0.11,2.84,-3.83,0.2,-0.73
6.726,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.633,0.215,-6.811,4.298,-4.879,-0.041,-5.681,6.061,-2.54,-0.39,1.0,-0.31,-4.42,-2.08,2.41,-2.37
6.777,-1.36,3.58,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.719,0.156,-6.601,4.373,-4.801,0.052,-5.884,5.981,1.74,5.09,0.46,-1.23,1.86,1.81,1.37,-2.63
6.827,-1.36,3.56,-22.12,-64.41,1.35,3.67,-22.0,-65.64,4.887,0.27,-6.845,4.364,-4.766,0.01,-5.95,5.962,-1.87,-0.42,1.27,-1.54,-4.56,4.34,1.43,-2.3
6.878,-1.36,3.57,-22.11,-64.42,1.37,3.66,-22.0,-65.64,4.922,0.155,-6.804,4.212,-4.676,0.088,-5.572,6.047,-2.09,1.76,3.04,-0.75,3.69,-1.08,1.14,0.27
6.929,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.609,0.215,-6.693,4.376,-4.527,0.089,-5.706,6.042,-1.94,2.61,0.37,0.87,-0.57,0.28,1.51,-3.13
6.979,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.488,0.171,-6.633,4.441,-4.531,-0.061,-5.754,6.07,-1.09,-2.71,-1.14,1.98,0.21,-1.34,-0.52,0.45
7.03,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.84,0.205,-6.675,4.294,-4.75,0.068,-5.9,5.977,0.86,0.67,-1.23,0.32,-5.05,2.48,-2.31,3.61
7.08,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.727,0.204,-6.476,4.294,-4.719,-0.007,-5.625,6.047,0.51,-0.85,1.11,-0.09,-3.09,-3.33,2.39,-1.32
7.131,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.84,0.219,-6.653,4.439,-4.719,-0.075,-5.878,6.052,-0.34,-2.2,0.84,0.49,2.2,1.34,-1.04,-1.47
7.181,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.75,0.153,-6.653,4.322,-4.859,-0.052,-5.733,5.892,0.38,2.98,-0.89,-2.52,-1.53,-0.46,-0.16,0.2
7.231,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.957,0.126,-6.566,4.327,-4.754,-0.054,-5.707,6.047,2.4,1.69,-0.34,2.43,-2.81,2.64,0.66,1.59
7.282,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.738,0.341,-6.799,4.31,-4.816,0.061,-5.624,5.995,0.72,-1.65,-0.14,-1.4,-1.09,-2.43,0.07,1.04
7.332,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.688,0.164,-6.708,4.32,-4.629,0.096,-5.682,5.902,-1.59,2.34,1.83,-1.63,-0.29,0.54,-0.85,0.48
7.383,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.914,0.355,-6.82,4.289,-4.707,-0.06,-5.754,5.93,1.02,-2.55,0.23,2.83,0.72,1.13,-1.48,1.22
7.433,-1.35,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.543,0.098,-6.7,4.298,-4.879,0.051,-5.863,5.991,3.59,2.03,1.9,-1.08,-1.47,-2.84,0.11,0.38
7.484,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,5.055,0.122,-6.551,4.383,-4.98,0.038,-5.959,5.93,-0.12,1.59,0.49,1.68,1.17,1.54,0.18,0.06
7.534,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,5.035,0.167,-6.763,4.341,-4.988,0.095,-6.041,5.953,-1.99,-2.66,-0.6,1.47,-1.32,1.63,2.64,-2.97
7.585,-1.36,3.56,-22.12,-64.41,1.35,3.65,-22.0,-65.64,4.672,0.304,-6.737,4.343,-4.535,-0.039,-5.775,5.944,0.43,-3.01,-0.32,3.63,-3.31,-6.03,3.59,-2.92
7.635,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.625,0.173,-6.675,4.364,-4.977,0.086,-5.87,6.042,2.21,-2.44,-1.24,4.65,0.24,1.53,-0.41,0.79
7.686,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.969,0.229,-6.718,4.35,-4.445,0.016,-5.982,6.0,2.37,-1.59,-0.36,-1.79,-1.46,2.79,-0.02,-1.74
7.736,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.797,0.251,-6.649,4.308,-5.0,0.044,-5.801,5.836,1.0,-2.17,0.78,-1.19,-2.55,-1.12,-0.41,-2.24
7.787,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.785,0.275,-6.688,4.392,-4.93,-0.109,-5.965,5.883,-0.12,-0.83,-1.41,3.35,2.46,-0.57,-4.21,3.66
7.837,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.594,0.362,-6.444,4.413,-4.668,0.099,-5.719,6.164,-0.79,1.35,-0.18,3.74,-2.35,-0.55,1.86,-2.69
7.888,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.75,0.241,-6.716,4.399,-4.898,-0.02,-5.831,5.958,0.79,2.44,-0.73,2.68,-0.48,3.29,0.29,-0.92
7.939,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.68,0.137,-6.761,4.331,-4.52,0.064,-5.296,6.112,0.83,-2.66,0.79,0.16,-3.93,-1.6,-0.36,-2.14
7.989,-1.36,3.56,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.699,0.163,-6.413,4.31,-4.816,-0.019,-5.748,5.977,-0.54,-1.27,-2.45,1.98,-1.21,0.32,1.29,-0.12
8.04,-1.37,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.75,0.214,-6.899,4.263,-4.941,-0.035,-5.851,6.014,-4.81,-0.81,0.48,-0.89,0.7,0.25,0.77,-3.57
8.091,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.887,0.256,-6.679,4.343,-4.602,-0.016,-5.97,5.948,-1.31,-0.12,1.82,-4.72,1.17,-1.65,-0.35,0.36
8.141,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.523,0.274,-6.615,4.371,-4.676,-0.06,-5.709,5.962,0.74,1.2,0.83,2.68,0.68,-0.33,-2.57,0.87
8.192,-1.37,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.879,0.251,-6.88,4.423,-4.719,0.023,-5.784,6.052,-3.58,-2.22,-0.72,0.44,0.29,-0.5,-0.68,2.28
8.242,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.863,0.042,-6.709,4.348,-4.742,-0.061,-5.781,6.037,0.93,1.1,1.87,-2.61,-2.27,-1.76,-1.86,-1.11
8.293,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.906,0.142,-6.9,4.303,-5.039,-0.027,-5.754,5.953,1.22,0.34,1.49,-0.21,-0.33,0.91,0.97,1.23
8.343,-1.36,3.57,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.77,0.094,-6.537,4.373,-4.547,0.158,-5.586,5.986,0.61,-0.4,3.27,-5.92,-0.81,-1.13,1.4,-5.48
8.394,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.617,0.206,-6.67,4.474,-4.777,0.018,-5.715,6.127,-0.19,2.41,-1.51,-0.3,2.41,-0.1,1.02,-2.22
8.444,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.613,0.325,-6.814,4.359,-4.609,0.083,-5.825,6.028,-0.18,-0.89,1.81,-3.64,-1.26,0.33,-1.15,2.23
8.495,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.773,0.198,-6.926,4.383,-4.668,-0.035,-5.527,6.052,-0.79,2.15,-0.43,-2.06,-0.22,-0.81,0.72,0.57
8.545,-1.36,3.55,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.531,0.215,-6.369,4.383,-4.633,0.08,-6.022,5.972,1.46,-5.89,0.26,-0.29,0.82,0.38,0.62,1.14
8.596,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.559,0.204,-6.756,4.371,-4.816,-0.025,-5.832,6.103,-0.66,0.44,0.33,-1.79,4.62,1.42,-1.45,-0.63
8.647,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.695,0.267,-6.673,4.32,-4.797,-0.023,-5.652,5.991,1.91,-0.62,0.59,-3.6,-1.11,-0.13,-1.97,1.62
8.698,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.738,0.263,-6.805,4.275,-4.551,0.051,-6.038,5.962,2.41,0.13,-0.72,0.78,-0.3,-0.01,-0.27,0.86
8.748,-1.35,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.602,0.102,-6.843,4.366,-4.793,0.083,-5.875,6.037,3.34,3.59,-0.78,-1.13,0.2,1.11,-0.09,1.44
8.799,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.703,0.229,-6.759,4.245,-4.719,-0.0,-5.719,5.953,2.59,2.04,1.93,-2.63,0.49,0.34,-1.54,0.13
8.849,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.426,0.289,-6.83,4.209,-4.898,0.158,-5.753,5.902,1.79,2.69,0.47,0.46,-8.56,0.19,-1.01,-0.34
8.9,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.727,0.229,-6.827,4.305,-4.938,-0.02,-5.814,5.981,0.82,-2.92,-1.1,-0.93,-1.84,1.67,2.92,-2.75
8.95,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.801,0.036,-6.654,4.42,-4.895,0.061,-5.805,5.972,1.98,-1.38,1.57,0.81,-1.99,3.29,1.45,1.15
9.001,-1.36,3.57,-22.12,-64.41,1.37,3.66,-21.98,-65.66,4.902,0.24,-6.693,4.376,-4.855,0.018,-5.947,6.047,-1.21,-0.18,-1.51,2.57,3.01,0.76,3.9,-4.04
9.051,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.805,0.15,-6.625,4.327,-4.789,0.032,-5.773,6.005,-0.6,-4.15,-1.05,2.03,-2.31,1.96,-0.17,1.04
9.102,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.637,0.224,-6.9,4.245,-4.59,0.039,-5.866,6.028,0.0,-2.28,1.4,0.22,1.06,-1.38,1.08,-2.38
9.152,-1.37,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.984,0.181,-6.451,4.383,-4.836,-0.015,-5.96,5.934,-3.33,-3.12,2.05,-1.8,3.09,-0.19,0.71,-1.22
9.202,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.766,0.18,-6.599,4.329,-4.707,-0.034,-5.825,6.052,-2.54,1.96,-1.14,1.78,1.51,-1.65,-0.03,3.92
9.253,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.883,0.15,-6.663,4.329,-4.777,0.136,-6.108,5.986,2.51,-0.77,-2.53,5.57,-0.99,0.71,1.33,-0.28
9.303,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.785,0.086,-6.766,4.378,-4.941,0.022,-5.371,6.178,1.12,0.3,-0.68,1.64,-3.24,4.06,1.2,1.43
9.354,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.746,0.225,-6.629,4.38,-4.844,0.208,-5.739,6.08,-1.26,-2.79,-0.36,1.66,0.88,-5.32,3.2,-4.01
9.405,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.555,0.246,-6.768,4.406,-4.773,0.104,-5.784,6.075,-1.88,3.46,-0.24,0.4,-1.22,-1.04,0.89,-0.52
9.455,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.746,0.213,-6.839,4.27,-4.828,0.14,-5.734,5.967,1.01,1.78,0.68,-4.18,3.69,0.27,-0.5,-0.97
9.505,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.516,0.098,-6.504,4.395,-5.023,-0.027,-6.012,5.906,-1.18,-1.11,-0.85,0.36,2.54,-1.48,0.96,-1.1
9.556,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.242,0.3,-6.761,4.413,-4.859,0.021,-5.723,6.066,-2.55,-1.26,1.24,-1.41,0.39,-0.89,1.36,-3.32
9.607,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.551,0.118,-6.567,4.39,-4.816,0.06,-5.511,6.037,0.83,1.33,2.13,-2.05,-5.02,-1.21,0.61,1.75
9.657,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.75,0.266,-6.707,4.409,-4.754,0.032,-5.81,5.944,2.34,1.6,0.8,0.75,-2.3,1.71,1.02,-1.76
9.708,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,5.02,0.258,-6.784,4.32,-4.738,0.019,-5.783,6.0,-2.23,-0.88,-1.5,1.36,5.18,-1.15,0.47,-1.59
9.758,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.852,0.141,-6.88,4.247,-4.797,-0.027,-5.91,6.014,-2.41,-0.11,0.89,-2.01,0.32,-0.22,0.85,0.31
9.809,-1.35,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.992,0.26,-6.592,4.371,-4.84,-0.053,-5.672,5.977,5.24,2.45,-0.4,2.83,-2.12,1.31,2.15,-2.3
9.859,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.766,0.118,-6.5,4.287,-4.688,-0.002,-5.905,5.948,-2.27,-2.36,0.93,-1.3,1.2,-1.09,0.75,0.9
9.91,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.695,0.232,-6.837,4.249,-4.852,0.057,-5.832,5.939,-1.8,-0.11,0.42,0.38,-1.26,-0.98,-0.61,-2.61
9.96,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.824,0.134,-6.67,4.427,-4.984,0.145,-5.898,6.014,-1.69,-1.7,0.67,0.3,2.24,-1.02,0.06,0.78
10.011,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.555,0.207,-6.543,4.42,-4.926,0.049,-5.886,5.991,-0.53,-2.6,-1.2,4.97,-2.43,0.46,1.66,0.04
10.062,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.496,0.241,-6.689,4.256,-4.809,0.07,-5.377,6.037,0.24,-1.45,1.69,-1.43,1.65,-5.94,0.5,-1.11
10.112,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.695,0.259,-6.763,4.317,-4.73,-0.044,-5.723,6.066,-2.23,1.54,-0.52,0.38,2.8,-0.13,-0.16,-2.1
10.163,-1.36,3.57,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.797,0.177,-6.798,4.317,-4.621,0.024,-5.708,6.098,-1.7,0.17,0.08,-1.75,1.71,-2.82,0.93,1.47
10.214,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.691,0.134,-6.693,4.27,-4.688,-0.011,-5.805,6.089,-0.98,-0.12,0.67,0.94,-0.99,2.13,1.99,-4.45
10.264,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.66,0.278,-6.689,4.432,-4.719,-0.02,-5.83,6.047,-1.1,2.5,-0.28,0.93,1.93,1.44,-1.03,0.29
10.315,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.715,0.196,-6.751,4.376,-4.852,-0.0,-6.148,6.005,0.04,0.84,-2.45,1.85,-2.27,1.52,0.65,0.43
10.365,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.586,0.299,-6.635,4.357,-4.93,0.282,-6.188,6.117,2.06,0.24,-1.94,-0.83,2.11,0.68,1.59,-1.66
10.416,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.574,0.075,-6.741,4.322,-4.805,0.077,-5.684,6.0,-1.32,1.69,-0.59,0.81,-1.18,-2.53,-0.57,0.41
10.466,-1.36,3.58,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.73,0.254,-6.756,4.348,-4.297,-0.089,-5.689,6.141,-0.91,5.14,-1.23,-0.32,1.69,-0.5,-3.1,3.49
10.517,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.789,0.155,-7.099,4.245,-4.973,0.07,-5.951,5.78,-2.62,-1.07,1.5,0.89,-1.29,-1.3,-0.76,0.38
10.567,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.859,0.216,-6.645,4.301,-4.555,-0.0,-5.882,5.878,-3.71,2.36,-0.1,-2.11,-1.58,1.42,-1.79,5.08
10.618,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.863,0.12,-6.696,4.425,-4.629,0.045,-5.951,6.131,-0.54,1.4,-0.36,-1.61,0.81,1.94,1.73,-1.35
10.668,-1.36,3.57,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.902,0.182,-6.799,4.474,-4.758,0.042,-5.768,5.986,-0.63,0.51,1.35,0.13,2.08,-2.93,0.19,-2.01
10.719,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.93,0.167,-6.765,4.315,-4.781,0.063,-5.775,5.944,-2.15,-1.16,1.36,-0.06,-2.76,2.87,-0.9,4.68
10.769,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.738,0.192,-6.725,4.308,-4.688,0.093,-5.863,5.991,1.09,-1.09,1.55,-2.29,-2.26,-1.67,-1.91,4.5
10.821,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.824,0.219,-6.577,4.439,-4.625,0.029,-5.912,5.93,0.84,-0.98,-0.18,0.45,0.44,-1.51,0.14,-0.34
10.871,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.645,0.151,-6.772,4.331,-4.617,0.058,-5.822,6.037,-0.88,-2.08,-0.62,-2.36,4.3,-4.74,-0.83,-1.01
10.922,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.449,0.364,-6.568,4.383,-4.531,0.151,-5.921,5.967,-1.14,-0.28,0.53,-0.43,-0.35,-2.83,-2.06,5.48
10.972,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.816,0.199,-6.578,4.42,-4.582,0.019,-5.51,6.033,2.89,1.9,0.49,0.91,1.03,1.54,-0.91,2.46
11.023,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.953,0.286,-6.739,4.259,-5.039,0.135,-5.755,5.958,0.75,-3.79,1.72,-0.76,1.56,2.1,-1.24,3.74
11.073,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.895,0.245,-6.858,4.275,-4.648,-0.004,-5.989,5.911,1.17,-1.55,1.82,-2.73,3.05,-0.97,-0.86,0.52
11.124,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.637,0.221,-6.783,4.233,-4.695,-0.007,-5.916,5.85,0.79,1.78,-0.0,-0.28,0.91,0.4,-1.57,-2.13
11.174,-1.36,3.58,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.539,0.106,-6.605,4.341,-4.848,0.011,-5.845,6.014,-0.81,5.0,1.95,-2.16,-1.51,2.37,-0.48,-0.61
11.225,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.715,0.275,-7.021,4.223,-4.973,-0.005,-5.878,6.145,0.22,1.74,-0.42,-2.94,-1.26,-1.87,-1.36,2.48
11.276,-1.36,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.645,0.172,-6.783,4.327,-4.668,-0.059,-5.964,5.925,1.93,-0.35,-3.23,4.15,0.79,-1.65,0.71,-0.91
11.326,-1.35,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.73,0.12,-6.721,4.324,-5.066,0.05,-6.052,6.019,3.33,-0.4,-0.59,1.06,-1.29,-0.88,1.79,-2.06
11.377,-1.37,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.887,0.1,-6.459,4.392,-4.723,-0.01,-5.89,6.028,-3.63,1.83,0.02,4.64,0.77,3.15,2.97,-2.18
11.428,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.617,0.192,-6.736,4.432,-4.891,0.08,-6.05,5.897,-0.92,-1.18,-1.34,4.37,3.39,1.92,1.18,-0.95
11.478,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.617,0.192,-6.736,4.432,-4.891,0.08,-6.05,5.897,-0.92,-1.18,-1.34,4.37,3.39,1.92,1.18,-0.95
11.529,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.789,0.123,-6.799,4.334,-4.66,0.004,-5.78,5.986,2.41,-2.84,-2.32,4.61,0.37,-1.02,1.17,-2.63
11.579,-1.35,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.879,0.158,-6.748,4.35,-4.777,0.077,-5.967,5.939,3.66,2.65,-0.68,0.07,-1.06,1.29,1.17,-2.72
11.63,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.84,0.183,-6.769,4.305,-4.867,0.103,-5.531,5.977,1.47,1.79,-1.51,2.09,0.63,1.77,-0.57,2.26
11.681,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.77,0.152,-6.855,4.336,-4.684,0.087,-5.946,5.831,1.96,-1.51,1.33,-1.34,-0.03,1.76,0.03,1.59
11.731,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.723,0.211,-6.628,4.305,-4.781,0.122,-5.917,6.042,0.85,-0.72,-1.83,3.53,-2.09,-2.76,-1.02,0.94
11.782,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.852,0.112,-6.771,4.256,-4.898,0.04,-5.779,6.005,1.07,1.13,-1.62,2.91,0.19,-1.52,0.13,-0.08
11.832,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.645,0.189,-6.94,4.38,-4.738,0.005,-5.932,5.939,0.53,3.24,-1.12,-1.34,-2.6,1.41,-1.29,1.09
11.883,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.93,0.156,-6.803,4.336,-4.898,0.035,-5.936,5.977,-0.14,1.86,-1.31,1.1,2.28,0.13,0.97,-0.91
11.933,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.809,0.23,-6.711,4.357,-4.652,0.102,-5.712,6.019,-2.03,3.38,-0.57,1.83,1.16,-2.48,1.01,0.51
11.984,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.945,0.307,-6.581,4.294,-4.645,-0.014,-5.72,5.981,2.32,-2.34,-1.29,2.35,0.29,1.26,-2.05,1.68
12.034,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.434,0.13,-6.866,4.261,-4.582,0.062,-5.823,6.042,1.99,2.95,0.57,-1.63,0.82,-1.19,-0.04,0.19
12.085,-1.36,3.57,-22.11,-64.42,1.37,3.66,-22.0,-65.64,4.801,0.152,-6.959,4.268,-4.809,-0.017,-5.938,6.033,1.17,-0.33,3.0,-5.96,3.84,-1.55,0.03,-4.31
12.136,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.684,0.288,-6.834,4.263,-4.848,-0.037,-5.929,5.995,1.84,-0.82,0.8,-2.82,0.13,1.84,0.26,0.83
12.186,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.82,0.21,-6.882,4.245,-4.734,-0.02,-5.787,5.991,-1.68,-2.0,0.77,-0.2,1.75,-2.36,0.97,-2.14
12.237,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.746,0.263,-6.442,4.392,-4.551,0.045,-5.801,6.07,0.66,-2.52,0.25,2.08,1.8,2.07,-3.37,4.12
12.287,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.508,0.248,-6.531,4.291,-4.691,-0.009,-5.859,6.0,1.98,-3.8,0.19,1.85,0.79,-1.27,2.13,-1.07
12.338,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.68,0.188,-6.663,4.388,-4.867,-0.012,-5.906,5.93,0.69,0.72,-1.52,1.42,3.54,2.77,0.6,-2.45
12.388,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.629,0.158,-6.577,4.322,-4.859,-0.032,-5.818,5.906,0.64,-1.04,0.79,-2.4,-1.2,-2.85,-0.98,2.11
