t,q0,dq0,tau0,cmd0,kp0,kd0,q1,dq1,tau1,cmd1,kp1,kd1,q2,dq2,tau2,cmd2,kp2,kd2,q3,dq3,tau3,cmd3,kp3,kd3,q4,dq4,tau4,cmd4,kp4,kd4,q5,dq5,tau5,cmd5,kp5,kd5,q6,dq6,tau6,cmd6,kp6,kd6,q7,dq7,tau7,cmd7,kp7,kd7,q8,dq8,tau8,cmd8,kp8,kd8,q9,dq9,tau9,cmd9,kp9,kd9
0.0620,11.602,-0.3,-0.084,11.598,100.00,6.00,37.688,-0.9,-0.049,37.677,50.00,4.00,72.438,1.7,-0.085,72.425,80.00,3.50,81.625,0.3,-0.021,81.630,30.00,2.00,-16.156,-1.9,0.028,-16.135,100.00,6.00,-37.000,1.5,-0.034,-36.991,50.00,4.00,-78.812,-0.8,-0.024,-78.803,80.00,3.50,-85.000,0.4,-0.036,-85.067,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0640,11.609,1.2,0.001,11.597,100.00,6.00,37.688,-0.8,-0.110,37.676,50.00,4.00,72.438,-4.0,0.025,72.424,80.00,3.50,81.688,2.6,-0.028,81.630,30.00,2.00,-16.156,-1.8,0.037,-16.135,100.00,6.00,-37.000,0.2,0.055,-36.990,50.00,4.00,-78.812,-0.8,0.018,-78.802,80.00,3.50,-85.000,-0.6,-0.025,-85.068,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0660,11.609,1.0,-0.014,11.597,100.00,6.00,37.688,1.6,-0.021,37.675,50.00,4.00,72.438,-2.1,0.012,72.423,80.00,3.50,81.625,-2.6,-0.045,81.631,30.00,2.00,-16.156,-1.6,-0.027,-16.134,100.00,6.00,-37.000,1.7,-0.020,-36.989,50.00,4.00,-78.812,5.1,0.001,-78.801,80.00,3.50,-85.000,-0.9,0.000,-85.068,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0680,11.609,2.7,-0.017,11.597,100.00,6.00,37.688,-1.6,-0.079,37.674,50.00,4.00,72.438,-0.1,0.009,72.422,80.00,3.50,81.688,2.1,-0.058,81.631,30.00,2.00,-16.156,-0.4,0.051,-16.134,100.00,6.00,-37.000,-1.3,-0.032,-36.988,50.00,4.00,-78.812,3.9,0.016,-78.800,80.00,3.50,-85.062,-5.6,-0.039,-85.068,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0700,11.609,1.7,0.059,11.596,100.00,6.00,37.688,2.7,-0.030,37.673,50.00,4.00,72.438,3.8,-0.004,72.420,80.00,3.50,81.688,3.4,-0.023,81.632,30.00,2.00,-16.141,1.3,0.022,-16.133,100.00,6.00,-37.000,0.1,-0.005,-36.987,50.00,4.00,-78.812,0.8,-0.036,-78.799,80.00,3.50,-85.000,2.8,-0.067,-85.069,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0720,11.602,-0.2,-0.059,11.596,100.00,6.00,37.688,0.7,0.073,37.672,50.00,4.00,72.438,0.6,0.048,72.419,80.00,3.50,81.688,3.7,-0.015,81.632,30.00,2.00,-16.141,1.0,-0.024,-16.132,100.00,6.00,-37.000,-0.9,0.058,-36.986,50.00,4.00,-78.750,6.5,-0.089,-78.798,80.00,3.50,-85.062,-2.8,-0.033,-85.070,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0740,11.602,-0.7,-0.104,11.595,100.00,6.00,37.688,-1.0,0.007,37.670,50.00,4.00,72.438,3.6,0.015,72.417,80.00,3.50,81.625,0.6,-0.001,81.633,30.00,2.00,-16.156,-0.4,0.104,-16.132,100.00,6.00,-37.000,1.5,-0.025,-36.984,50.00,4.00,-78.750,6.3,-0.040,-78.797,80.00,3.50,-85.000,0.8,0.011,-85.070,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0760,11.602,-1.2,0.011,11.595,100.00,6.00,37.688,-2.7,-0.040,37.669,50.00,4.00,72.438,-0.2,0.042,72.416,80.00,3.50,81.688,2.2,0.005,81.634,30.00,2.00,-16.156,-0.7,0.032,-16.131,100.00,6.00,-37.000,-0.2,-0.016,-36.983,50.00,4.00,-78.812,0.6,0.017,-78.796,80.00,3.50,-85.000,-0.1,-0.043,-85.071,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0780,11.602,-1.0,-0.020,11.594,100.00,6.00,37.688,0.5,0.046,37.667,50.00,4.00,72.438,0.4,-0.005,72.414,80.00,3.50,81.625,0.4,0.025,81.634,30.00,2.00,-16.141,0.5,-0.046,-16.130,100.00,6.00,-37.000,-1.3,-0.018,-36.982,50.00,4.00,-78.812,-1.3,-0.055,-78.794,80.00,3.50,-85.000,3.5,-0.016,-85.071,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0800,11.602,-0.2,-0.061,11.594,100.00,6.00,37.688,-2.5,0.015,37.666,50.00,4.00,72.438,1.9,0.014,72.412,80.00,3.50,81.625,-1.2,-0.006,81.635,30.00,2.00,-16.156,-1.8,0.114,-16.130,100.00,6.00,-37.000,-2.8,-0.101,-36.980,50.00,4.00,-78.812,-4.6,-0.021,-78.793,80.00,3.50,-85.000,-1.2,0.012,-85.072,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
